ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,entity_id,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
G,2010,4,schwarz,295 g/km,1,5,12.6 l/100km,6209,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Automatisiertes Schaltgetriebe,29000,525,Limousine,Benzin,Zuzwil,Mercedes-Benz,E 63 AMG,E 63 AMG,E 63 AMG,MERCEDES-BENZ E 63 AMG,b7435590-4a65-4458-a677-127fda607a92,12.6,l/100km
null,1968,2,schwarz,null,4,2,null,1598,Oldtimer,"""Ab MFK""",Red,Hinterradantrieb,Schaltgetriebe manuell,85000,110,Coupé,Benzin,Zuzwil,Marcos,,1600 GT,1600 GT,MARCOS 1600 GT,6ce01d88-cb11-40ba-8138-ff51aa0ccf72,null,null
null,1993,2,grau,null,4,2,null,4971,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Automat,117900,320,Cabriolet,Benzin,Zuzwil,Mercedes-Benz,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,3e12b301-7584-43bc-87ee-990e4d72a1e1,null,null
null,2000,0,null,null,2,0,null,0,Occasion,null,Red,Vorderradantrieb,Schaltgetriebe,99,0,Limousine,null,Zuzwil,Renault,CLIO,CLIO Rennwagen,Rennwagen,RENAULT CLIO Rennwagen,0252a44a-f8e8-436e-9876-1ff27e0b6c7e,null,null
null,1982,2,grau,null,11,4,null,2663,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Schaltgetriebe,82400,150,Coupé,Benzin,Zuzwil,Renault,ALPINE,ALPINE V6,V6,RENAULT ALPINE V6,81417a8a-d375-4922-a57e-ede7f850e1f3,null,null
null,2001,2,schwarz,null,1,2,null,3600,Occasion,"""Ab MFK""",Red,null,null,21100,370,Coupé,Benzin,Zuzwil,Porsche,911,911 GT3 CS,GT3 CS,PORSCHE 911 GT3 CS,ce6e676e-74b2-425b-b4b0-393213ee4862,null,null
null,2003,5,schwarz,null,3,7,null,5403,Occasion,"""Ab MFK""",Blue,null,Automatik-Getriebe,130000,300,SUV / Geländewagen,Benzin,Zuzwil,Lincoln,Navigator,Navigator 32 V,32 V,LINCOLN Navigator 32 V,ee8c1e27-7dd6-4962-b2cb-b6bcc5c72820,null,null
G,2004,2,beige,499 g/km,1,2,21.8 l/100km,5748,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Automatisiertes Schaltgetriebe,28000,517,Coupé,Benzin,Zuzwil,Ferrari,575M,575M,575M,FERRARI 575M,cb1994dd-09e4-4b40-a982-6383030c8086,21.8,l/100km
null,2012,2,schwarz,null,4,2,null,5980,Occasion,"""Ab MFK""",Red,Hinterradantrieb,Automatik-Getriebe,43000,730,Coupé,Benzin,Zuzwil,Mercedes-Benz,SL 65 AMG,SL 65 AMG BLACK SERIES,BLACK SERIES,MERCEDES-BENZ SL 65 AMG BLACK SERIES,62b438c9-8455-43a5-9dbe-27f464bf99a1,null,null
null,2002,2,beige,309 g/km,1,4,12.9 l/100km,3600,Occasion,"""Ab MFK""",Red,Allrad,Automatik-Getriebe,29000,420,Coupé,Benzin,Zuzwil,Porsche,911,911 Turbo,911 Turbo,PORSCHE 911 Turbo,6c9c00ae-3997-42be-8add-42b41b20e140,12.9,l/100km
