ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,entity_id
null,1999,4,grau,275 g/km,1,5,11.5 l/100km,3199,Occasion,"""Ab MFK""",anthrazit,Allrad,Automat,31900,224,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,E 320,E 320 Elégance 4-Matic,E 320 Elégance 4-Matic,MERCEDES-BENZ E 320 Elégance 4-Matic,aa431da6-c684-40fb-9951-5eb4a6db553b
null,1973,2,schwarz,null,4,4,null,3929,Oldtimer,"""Ab MFK""",anthrazit mét.,Hinterradantrieb,Schaltgetriebe,48000,350,Coupé,Benzin,Zuzwil,LAMBORGHINI,,Espada GT 400 Serie 3,Espada GT 400 Serie 3,LAMBORGHINI Espada GT 400 Serie 3,1a5cb6a9-3184-4127-94b0-1141bcf458ec
G,2004,2,beige,440 g/km,2,2,19.3 l/100km,3586,Occasion,"""Ab MFK""",blau mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,42600,400,Coupé,Benzin,Zuzwil,FERRARI,F360,F360 Modena Berlinetta,F360 Modena Berlinetta,FERRARI F360 Modena Berlinetta,f43f5c09-e8ce-4863-8961-39ad4bc04fa9
null,2011,2,schwarz,null,4,0,null,4691,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatik-Getriebe,23900,450,Cabriolet,Benzin,Porrentruy,ALFA ROMEO,8C,8C,null,ALFA ROMEO 8C,b5b48f5d-9170-4388-9160-41d3c756e0e1
null,1974,2,schwarz,null,3,4,null,1977,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,97100,170,Limousine,Benzin,Zuzwil,BMW,2002,2002 Turbo,Turbo,BMW 2002 Turbo,e93f2a20-8870-40d0-a329-d977527db609
null,1969,2,schwarz,null,7,2,null,2000,Occasion,"""Ab MFK""",silber mét.,null,null,23300,143,Cabriolet,Benzin,Zuzwil,DATSUN,,SPORTS 2000,SPORTS 2000,DATSUN SPORTS 2000,9042d24e-ea2e-49d8-846c-9b86d6c73899
null,1997,4,schwarz,322 g/km,1,5,13.5 l/100km,4172,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat,66300,300,Limousine,Benzin,Zuzwil,AUDI,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,9d6bb960-da9f-44d7-bef0-d7dcabf01205
G,2006,2,schwarz,400 g/km,1,2,17.0 l/100km,4961,Occasion,"""Ab MFK""",silber mét.,Allrad,Automatisiertes Schaltgetriebe,20000,520,Coupé,Benzin,Zuzwil,LAMBORGHINI,GALLARDO,Gallardo 5.0 V10 Coupé SE,Gallardo 5.0 V10 Coupé SE,LAMBORGHINI Gallardo 5.0 V10 Coupé SE,b0edbc85-3e45-4939-b4d7-0d83ea7e64de
null,1971,2,beige,null,2,4,null,3499,Occasion,null,silber mét.,null,null,500,200,Cabriolet,Benzin,Sursee,MERCEDES-BENZ,280,280 3.5 V8 Cabrio,3.5 V8 Cabrio,MERCEDES-BENZ 280 3.5 V8 Cabrio,aeb82ca9-e162-48d8-84dc-cca0d98dd2cc
null,1996,2,schwarz,297 g/km,7,2,12.5 l/100km,3199,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,156800,231,Cabriolet,Benzin,Zuzwil,MERCEDES-BENZ,SL 320,SL 320,SL 320,MERCEDES-BENZ SL 320,a0c345d2-9091-4e11-83d3-c5b064a2b44c
G,2004,5,schwarz,378 g/km,4,5,15.7 l/100km,4511,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat,91600,450,SUV / Geländewagen,Benzin,Zuzwil,PORSCHE,CAYENNE,Cayenne Turbo,Cayenne Turbo,PORSCHE Cayenne Turbo,7a7915eb-cf31-480f-8dbd-a792d5402cb3
G,2004,4,schwarz,276 g/km,12,5,11.4 l/100km,4398,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat sequentiell,27600,333,Limousine,Benzin,Zuzwil,BMW,745,745i,745i,BMW 745i,4e4a405c-9b19-4418-ae88-b44a70db58cf
null,1992,2,schwarz,null,1,2,null,3598,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,123000,260,Coupé,Benzin,Zuzwil,PORSCHE,911,911 Carrera 2 RS,911 Carrera 2 RS,PORSCHE 911 Carrera 2 RS,570cce77-0089-4f94-af06-3e3ddd5970ee
null,1999,2,schwarz,304 g/km,5,4,12.0 l/100km,3387,Occasion,"""Ab MFK""",blau mét.,Allrad,Automat,80400,300,Cabriolet,Benzin,Zuzwil,PORSCHE,911,911 Carrera 4 Cabrio TECHART,911 Carrera 4 Cabrio TECHART,PORSCHE 911 Carrera 4 Cabrio TECHART,00675c3f-6856-498c-9632-320c73947ffb
G,2002,4,schwarz,310 g/km,11,5,12.9 l/100km,5439,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat sequentiell,53800,476,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,E 55 AMG,E 55 AMG Avantgarde,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde,2b19692a-a830-4884-8d07-2d7521b9712e
G,2002,5,schwarz,350 g/km,12,5,14.6 l/100km,4172,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat sequentiell,47400,450,Kombi,Benzin,Zuzwil,AUDI,RS6,RS6 Avant quattro,RS6 Avant quattro,AUDI RS6 Avant quattro,033f0731-3cb1-4c65-96d2-c9dc3ca7bd93
null,1993,2,schwarz,null,8,2,null,5707,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,14990,492,Coupé,Benzin,Zuzwil,LAMBORGHINI,DIABLO,Diablo 5.7 VT,Diablo 5.7 VT,LAMBORGHINI Diablo 5.7 VT,1cf1f53b-75af-42a4-ae85-96fc04176d9f
null,1960,2,braun,null,3,2,null,2995,Occasion,null,silber mét.,null,null,1000,215,Cabriolet,Benzin,Sursee,MERCEDES-BENZ,,300SL Roadster,300SL Roadster,MERCEDES-BENZ 300SL Roadster,2510f72f-1b41-4cb7-a313-531e5ae7f223
null,2008,2,schwarz,null,3,0,null,4691,Occasion,null,silber mét.,Hinterradantrieb,Automatik-Getriebe,37000,450,Coupé,null,Zuzwil,ALFA ROMEO,8C,8C Coupé,Coupé,ALFA ROMEO 8C Coupé,094e82cf-0516-4870-8bb5-971d493ee2bf
G,2002,5,schwarz,288 g/km,11,5,10.9 l/100km,3996,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat,87800,250,SUV / Geländewagen,Diesel,Zuzwil,MERCEDES-BENZ,ML 400,ML 400 CDI,ML 400 CDI,MERCEDES-BENZ ML 400 CDI,1395513f-9c27-40d8-8fbe-e8d8039b91ec
G,2007,5,grau,194 g/km,2,5,8.1 l/100km,1984,Occasion,"""Ab MFK""",silber mét.,Vorderradantrieb,Schaltgetriebe manuell,87000,200,Limousine,Benzin,Zuzwil,VW,GOLF,Golf 2.0 TFSI GTI,Golf 2.0 TFSI GTI,VW Golf 2.0 TFSI GTI,2c87f756-7640-4731-8e6d-f319b1570862
E,2009,4,grau,154 g/km,3,5,5.8 l/100km,1968,Occasion,"""Ab MFK""",silber mét.,Vorderradantrieb,Automatisiertes Schaltgetriebe,33500,140,Limousine,Diesel,Zuzwil,VW,JETTA,Jetta 2.0 TDI Comfort,Jetta 2.0 TDI Comfort,VW Jetta 2.0 TDI Comfort,1b8bbb2f-cb5b-4671-9409-d5dda0ac9d20
null,1989,4,schwarz,null,1,5,null,2497,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,198000,195,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,190,190 E 2.5-16 ABS,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS,458b5dad-b795-403f-bb54-167cd1a140d5
G,2008,2,schwarz,null,7,2,14.1 l/100km,4999,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,34600,507,Coupé,Benzin,Zuzwil,WIESMANN,COUPE,GT MF5,GT MF5,WIESMANN GT MF5,bdd3326e-bb7f-4f04-9ad3-f28a4ee9ffd1
G,2009,2,mehrfarbig,270 g/km,12,4,11.5 l/100km,3800,Occasion,"""Ab MFK"", ""Direkt-/Parallelimport""",blau mét.,Allrad,Automatisiertes Schaltgetriebe,52000,500,Cabriolet,Benzin,Zuzwil,PORSCHE,911,911 Turbo Cabrio,911 Turbo Cabrio,PORSCHE 911 Turbo Cabrio,1b3cbaf0-6d58-420a-bb4d-cd7d8d02bd6f
G,2011,2,schwarz,292 g/km,8,2,12.1 l/100km,3246,Vorführmodell,"""Ab MFK"", ""Tuning""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,10900,343,Coupé,Benzin,Zuzwil,BMW,Z4,Z4 M Coupé,Z4 M Coupé,BMW Z4 M Coupé,ff9ec7e7-f562-44c2-8c2f-5d6ba2424f3f
null,1969,2,schwarz,null,9,0,null,1296,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,9999,0,Coupé,Benzin,Zuzwil,RENAULT,Alpine A110,Alpine A110 1300S,1300S,RENAULT Alpine A110 1300S,b414565b-4434-47e3-a1fe-23bcc75859a8
null,2002,2,braun,400 g/km,6,4,17.5 l/100km,4244,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatik-Getriebe,62300,390,Coupé,Benzin,Zuzwil,MASERATI,COUPÉ GT,Coupé GT,Coupé GT,MASERATI Coupé GT,8a06df49-ac0d-41fb-a0ed-caff205a2414
null,1976,2,schwarz,null,8,4,null,1605,Oldtimer,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,42940,140,Coupé,Benzin,Zuzwil,RENAULT,ALPINE,ALPINE 1600 VF,1600 VF,RENAULT ALPINE 1600 VF,4b3449c8-9bf1-4df3-83af-1bd2f9fa8681
G,2002,4,grau,288 g/km,8,5,12.0 l/100km,4172,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat sequentiell,35100,335,Limousine,Benzin,Zuzwil,AUDI,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,c6b74d96-35b1-4a72-b98e-f13ac4a765b1
G,2010,2,schwarz,350 g/km,3,2,14.7 l/100km,7011,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,24000,512,Coupé,Benzin,Zuzwil,CHEVROLET,CORVETTE,Corvette Z06,Corvette Z06,CHEVROLET Corvette Z06,109979d7-76b7-42ba-a842-5a0c3846858c
null,1986,3,schwarz,null,12,4,null,1587,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,101400,116,Coupé,Benzin,Zuzwil,TOYOTA,COROLLA,Corolla 1600 GTi TC16,Corolla 1600 GTi TC16,TOYOTA Corolla 1600 GTi TC16,f335a833-d851-4f4e-a611-f765af00fa2d
G,2000,2,schwarz,281 g/km,6,4,11.7 l/100km,5439,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,79500,347,Coupé,Benzin,Zuzwil,MERCEDES-BENZ,CLK 55 AMG,CLK 55 AMG Avantgarde,CLK 55 AMG Avantgarde,MERCEDES-BENZ CLK 55 AMG Avantgarde,74eb2d24-bc23-46c6-916a-050c40f45836
G,2014,5,schwarz,225 g/km,3,4,9.6 l/100km,3993,Occasion,"""Ab MFK"", ""Direkt-/Parallelimport""",silber mét.,Allrad,Automatisiertes Schaltgetriebe,3600,420,Limousine,Benzin,Zuzwil,AUDI,S7,S7 Sportback 4.0 TFSI V8 quattro,S7 Sportback 4.0 TFSI V8 quattro,AUDI S7 Sportback 4.0 TFSI V8 quattro,78312ba1-3541-4c9f-b023-4ba823990cb3
G,2006,4,schwarz,495 g/km,3,5,20.6 l/100km,6761,Occasion,null,silber mét.,Hinterradantrieb,Automat,15600,457,Limousine,Benzin,Basel,BENTLEY,ARNAGE,Arnage T,Arnage T,BENTLEY Arnage T,bdb6cc77-d489-464e-9313-b8f62315d6eb
G,2006,4,mehrfarbig,324 g/km,5,5,13.5 l/100km,4163,Occasion,"""Ab MFK""",blau mét.,Allrad,Schaltgetriebe manuell,108200,420,Limousine,Benzin,Zuzwil,AUDI,RS4,RS4 4.2 V8 quattro,RS4 4.2 V8 quattro,AUDI RS4 4.2 V8 quattro,bdcbf029-cfc6-40f7-a25e-f838563ba8e5
G,2002,4,schwarz,310 g/km,10,5,12.9 l/100km,5439,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat sequentiell,52400,476,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,E 55 AMG,E 55 AMG Avantgarde,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde,900ed277-3eff-441b-b353-eb8570a648bb
G,2001,2,blau,309 g/km,5,4,12.9 l/100km,3600,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,60800,420,Coupé,Benzin,Zuzwil,PORSCHE,911,911 Turbo,911 Turbo,PORSCHE 911 Turbo,8a43cc6c-19b6-423a-a8ae-3f65dcf036cb
null,2004,2,schwarz,283 g/km,1,4,11.7 l/100km,4398,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatik-Getriebe,79100,333,Coupé,Benzin,Zuzwil,BMW,645,645i,645i,BMW 645i,f8c772f9-c1f6-4398-bd6f-a3eeb6cd17a8
null,2000,2,schwarz,320 g/km,1,4,12.9 l/100km,3600,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,77000,360,Coupé,Benzin,Zuzwil,PORSCHE,911,911 GT3,911 GT3,PORSCHE 911 GT3,354625e6-614b-4717-ab08-8dd827aa871d
null,1996,4,schwarz,326 g/km,11,5,14.3 l/100km,4196,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,87800,279,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,E 420,E 420 Avantgarde,E 420 Avantgarde,MERCEDES-BENZ E 420 Avantgarde,27ae9d51-b4ba-4576-bf61-1d07d728deb4
G,2002,2,blau,277 g/km,3,4,11.4 l/100km,3596,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,68100,320,Coupé,Benzin,Zuzwil,PORSCHE,911,911 Carrera 4 S,911 Carrera 4 S,PORSCHE 911 Carrera 4 S,5f5481f3-fad6-4a77-b934-dbe92f8333b9
G,2013,2,schwarz,333 g/km,5,4,14.3 l/100km,5935,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat sequentiell,17000,518,Cabriolet,Benzin,Zuzwil,ASTON MARTIN,DB9,DB9 Volante,DB9 Volante,ASTON MARTIN DB9 Volante,a3bf2f4e-e0b4-4539-adef-97169bf0c2d4
null,1977,4,schwarz,null,7,5,null,1997,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,12800,128,Limousine,Benzin,Zuzwil,TRIUMPH,Dolomite,Dolomite Sprint,Sprint,TRIUMPH Dolomite Sprint,99b9203b-67ad-4329-b5d8-243ac3a27a7c
null,1996,2,beige,340 g/km,6,0,14.3 l/100km,4973,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,74400,320,Cabriolet,Benzin,Zuzwil,MERCEDES-BENZ,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,71dfaaae-f529-4ac5-b097-c41b7ba91fcf
G,2007,2,weiss,366 g/km,2,4,15.2 l/100km,4999,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,32000,507,Cabriolet,Benzin,Zuzwil,BMW,M6,M6,M6,BMW M6,2862e351-7f8f-4803-9011-4d1f1af5684f
G,2001,5,schwarz,288 g/km,7,5,12.0 l/100km,2671,Occasion,"""Ab MFK""",blau mét.,Allrad,Schaltgetriebe manuell,57500,380,Kombi,Benzin,Zuzwil,AUDI,RS4,RS4 Avant quattro,RS4 Avant quattro,AUDI RS4 Avant quattro,1e023213-f11c-438c-8d1f-9b77384368c7
G,2001,2,schwarz,309 g/km,11,4,12.9 l/100km,3600,Occasion,null,silber mét.,Hinterradantrieb,Schaltgetriebe manuell,49900,462,Coupé,Benzin,Zuzwil,PORSCHE,911,911 GT2,911 GT2,PORSCHE 911 GT2,cc3b03fa-c011-447f-87e3-fb3ad4ee7ab2
null,1983,2,beige,null,3,4,null,2664,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,69000,150,Coupé,Benzin,Zuzwil,RENAULT,ALPINE,Alpine A310 V6,Alpine A310 V6,RENAULT Alpine A310 V6,4af0e8ef-ba26-41dd-91f1-2c7bdb7839b5
null,1981,2,beige,null,10,5,null,1588,Oldtimer,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,79300,107,Coupé,Benzin,Zuzwil,TOYOTA,CELICA,CELICA 1600 GT DOHC,1600 GT DOHC,TOYOTA CELICA 1600 GT DOHC,86215197-48b6-43ac-b71a-17d8a0d7c1f7
G,2002,4,grau,374 g/km,11,4,15.6 l/100km,5998,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat sequentiell,31300,420,Limousine,Benzin,Zuzwil,VW,PHAETON,Phaeton 6.0 W12 4Motion,Phaeton 6.0 W12 4Motion,VW Phaeton 6.0 W12 4Motion,03c81a4d-911f-4c17-aa4f-133a32dfa987
G,2008,2,schwarz,360 g/km,3,2,15.7 l/100km,4308,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,19999,506,Coupé,Benzin,Zuzwil,FERRARI,F430,F430 Scuderia,F430 Scuderia,FERRARI F430 Scuderia,5a0c86d1-3bb2-4a0a-84a8-940f8414880a
null,1992,4,null,null,4,5,null,2497,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,152000,195,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,190,190 E 2.5-16 ABS,190 E 2.5-16 ABS,MERCEDES-BENZ 190 E 2.5-16 ABS,f1d9bd1d-b274-4789-94e1-11552251cb28
null,1997,4,schwarz,327 g/km,3,5,14.2 l/100km,5379,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat sequentiell,69600,327,Limousine,Benzin,Zuzwil,BMW,750,750i,750i,BMW 750i,287e03b1-cc2f-476b-9878-bfa74e057d9a
G,2005,2,schwarz,277 g/km,8,4,11.5 l/100km,3824,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,39400,355,Coupé,Benzin,Zuzwil,PORSCHE,911,911 Carrera S,911 Carrera S,PORSCHE 911 Carrera S,8d381e79-1f57-4008-8fc3-a9c2fa98fbbe
null,1992,2,null,null,5,4,null,3402,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,16500,286,Coupé,Benzin,Zuzwil,FERRARI,MONDIAL,Mondial 3.4 T,Mondial 3.4 T,FERRARI Mondial 3.4 T,c9daf1b2-01d0-40e0-b4ac-313f5f3a8758
G,2002,5,beige,335 g/km,3,5,13.9 l/100km,4398,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat sequentiell,60100,286,SUV / Geländewagen,Benzin,Zuzwil,BMW,X5,X5 4.4i,X5 4.4i,BMW X5 4.4i,c7e7edb4-0990-4e7c-bd65-9d026ae6da30
G,2013,3,braun,350 g/km,1,2,15.0 l/100km,6262,Occasion,"""Direkt-/Parallelimport""",blau mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,12000,736,Coupé,Benzin,Zuzwil,FERRARI,F12,F12 Berlinetta,F12 Berlinetta,FERRARI F12 Berlinetta,fbb32c63-1698-43ec-960b-8fcdad9d8a7d
null,1978,3,schwarz,null,3,5,null,1993,Occasion,null,silber mét.,Hinterradantrieb,Schaltgetriebe,96600,110,Coupé,Benzin,Zuzwil,FORD,ESCORT,ESCORT RS 2000,RS 2000,FORD ESCORT RS 2000,8b80eb0f-345a-463d-91ca-27031636e129
G,1999,2,null,274 g/km,8,2,11.5 l/100km,3199,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,83600,224,Cabriolet,Benzin,Zuzwil,MERCEDES-BENZ,SL 320,SL 320,SL 320,MERCEDES-BENZ SL 320,b07d742d-0d27-4093-8a9f-7a48381439f0
G,2006,2,schwarz,285 g/km,2,4,11.8 l/100km,3824,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,101200,355,Coupé,Benzin,Zuzwil,PORSCHE,911,911 Carrera 4S,911 Carrera 4S,PORSCHE 911 Carrera 4S,19927328-2e02-4637-ae0d-ec8ac7dd76cd
null,1982,3,grau,null,2,2,null,4228,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,5000,135,SUV / Geländewagen,Benzin,Zuzwil,TOYOTA,LAND CRUISER,LAND CRUISER FJ 40,FJ 40,TOYOTA LAND CRUISER FJ 40,f7294b3f-f682-4855-aca9-7729ed000f3d
null,1996,2,schwarz,328 g/km,10,0,14.3 l/100km,4973,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,27600,320,Cabriolet,Benzin,Zuzwil,MERCEDES-BENZ,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,6e8aa0e0-d230-4b08-a674-a08284a8b12c
null,1970,2,beige,null,3,2,null,1564,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,57700,124,Coupé,Benzin,Zuzwil,RENAULT,Alpine A110,Alpine A110 1600S,1600S,RENAULT Alpine A110 1600S,0cc62b22-3838-40f1-a66b-7e6bcdf14d89
null,1981,3,rot,null,3,2,null,2753,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe,50300,140,Coupé,Benzin,Zuzwil,DATSUN,280,280 ZX,ZX,DATSUN 280 ZX,d4f5a9c7-9ed3-4377-8fde-689826c6135b
G,2001,2,schwarz,309 g/km,9,4,12.9 l/100km,3600,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,53400,462,Coupé,Benzin,Zuzwil,PORSCHE,911,911 GT2,911 GT2,PORSCHE 911 GT2,ecc989bb-5ac2-4597-b965-ec00c8e89d13
G,2003,2,null,500 g/km,2,2,21.5 l/100km,6192,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,9000,580,Coupé,Benzin,Porrentruy,LAMBORGHINI,MURCIÉLAGO,Murciélago 6.2 Coupé,Murciélago 6.2 Coupé,LAMBORGHINI Murciélago 6.2 Coupé,3bc77344-5dcb-4d16-a753-a6ad5d9f1222
G,2003,5,schwarz,305 g/km,10,5,12.7 l/100km,3724,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat,126300,235,SUV / Geländewagen,Benzin,Zuzwil,MERCEDES-BENZ,ML 350,ML 350 Inspiration,ML 350 Inspiration,MERCEDES-BENZ ML 350 Inspiration,00107c2d-0071-4475-88f0-810133638b7e
G,2003,4,schwarz,288 g/km,11,5,12.0 l/100km,4172,Occasion,"""Ab MFK""",blau mét.,Allrad,Automat sequentiell,26300,335,Limousine,Benzin,Zuzwil,AUDI,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,c8164101-e7d8-4f3b-bf51-7424a9e3f11d
null,2003,2,schwarz,309 g/km,3,4,12.9 l/100km,3600,Occasion,"""Ab MFK""",silber mét.,Allrad,Automatik-Getriebe,94500,420,Coupé,Benzin,Zuzwil,PORSCHE,911,911 Turbo,911 Turbo,PORSCHE 911 Turbo,44029834-44e6-4a24-b97f-03f2787d436f
G,2003,2,null,287 g/km,11,5,11.9 l/100km,3246,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,35000,360,Coupé,Benzin,Zuzwil,BMW,M3,M3 CSL,M3 CSL,BMW M3 CSL,33aaff3a-3cbf-432b-851b-625eaae82130
null,1999,4,schwarz,null,1,5,null,1997,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,120800,280,Limousine,Benzin,Zuzwil,MITSUBISHI,LANCER,LANCER EVO V,EVO V,MITSUBISHI LANCER EVO V,523150fd-d35f-47ea-86f8-e87d9662d25a
null,2000,2,schwarz,null,2,4,null,6700,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatik-Getriebe,75300,450,Coupé,Benzin,Zuzwil,MERCEDES-BENZ,,6.7 BRABUS,6.7 BRABUS,MERCEDES-BENZ 6.7 BRABUS,cfa4f2ed-b939-4157-9aab-3fe5bcab8142
G,2000,2,schwarz,295 g/km,11,4,12.0 l/100km,3387,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,38200,300,Coupé,Benzin,Zuzwil,PORSCHE,911,911 Carrera 4,911 Carrera 4,PORSCHE 911 Carrera 4,ee93413d-31c4-450e-a6ed-c8c04d59d8de
G,2005,2,schwarz,199 g/km,3,2,8.3 l/100km,1781,Occasion,"""Ab MFK""",silber mét.,Vorderradantrieb,Schaltgetriebe manuell,49900,180,Cabriolet,Benzin,Zuzwil,AUDI,TT,TT Roadster 1.8 T,TT Roadster 1.8 T,AUDI TT Roadster 1.8 T,d5f26673-6dbf-4e6f-9747-4a829e8463c6
G,1999,4,beige,314 g/km,10,5,13.1 l/100km,4172,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat sequentiell,101800,310,Limousine,Benzin,Zuzwil,AUDI,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,4ac4e2b2-f062-4aa6-af90-99717b73d9b8
null,1973,2,schwarz,null,0,2,null,1288,Occasion,"""Ab MFK""",silber mét.,null,Schaltgetriebe,75700,0,Coupé,Benzin,Zuzwil,RENAULT,Alpine A110,Alpine A110 1300,1300,RENAULT Alpine A110 1300,89219ae7-5e38-4351-abc5-ce66e534b945
G,2005,4,braun,370 g/km,10,5,15.8 l/100km,4244,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,33500,400,Limousine,Benzin,Zuzwil,MASERATI,QUATTROPORTE,Quattroporte 4.2,Quattroporte 4.2,MASERATI Quattroporte 4.2,9d824bd1-3849-4890-9a2c-6747ad88c9c4
null,1995,2,null,null,1,0,null,4971,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,96600,320,Cabriolet,Benzin,Zuzwil,MERCEDES-BENZ,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,867a653b-134d-478e-ba00-f10e2e9b1116
G,2000,4,grau,456 g/km,5,5,19.2 l/100km,6761,Occasion,"""Ab MFK""",blau mét.,Hinterradantrieb,Automat,19300,405,Limousine,Benzin,Zuzwil,BENTLEY,ARNAGE,Arnage Red Label,Arnage Red Label,BENTLEY Arnage Red Label,4bfefe64-cf9e-48cd-8811-8419549018af
G,2015,2,schwarz,338 g/km,9,4,14.5 l/100km,5998,Occasion,"""Ab MFK""",silber mét.,Allrad,Automat,5000,635,Coupé,Benzin,St. Gallen,BENTLEY,CONTINENTAL,Continental GT Speed 6.0,Continental GT Speed 6.0,BENTLEY Continental GT Speed 6.0,710f019a-fd73-445f-993d-bd5e9531ec41
null,1956,2,beige,null,7,2,null,3442,Occasion,null,violett mét.,Hinterradantrieb,Schaltgetriebe,5300,256,Coupé,Benzin,Zuzwil,JAGUAR,,D-Type XKD525,D-Type XKD525,JAGUAR D-Type XKD525,2ad59d2e-8f76-4187-8a67-a7a67771f96a
