ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,entity_id
null,2003,4,schwarz,null,7,5,null,1997,Occasion,"""Ab MFK""",bordeaux,Allrad,Schaltgetriebe manuell,35200,280,Limousine,Benzin,Zuzwil,MITSUBISHI,LANCER,Lancer Evo VII,Lancer Evo VII,MITSUBISHI Lancer Evo VII,2c49ffe2-03b6-4cb6-b856-596324c27410
G,2000,4,anthrazit,276 g/km,6,5,11.5 l/100km,3199,Occasion,"""Ab MFK""",bordeaux,Hinterradantrieb,Automat,14100,224,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,S 320,S 320,S 320,MERCEDES-BENZ S 320,64c36714-af41-4366-ab0f-627ba1a71585
G,2004,2,null,346 g/km,4,2,14.4 l/100km,5513,Occasion,"""Ab MFK""",bordeaux,Hinterradantrieb,Automat,23000,600,Cabriolet,Benzin,Zuzwil,MERCEDES-BENZ,SL 600,SL 600,SL 600,MERCEDES-BENZ SL 600,00e599a3-bf05-4a3a-896d-814732d64a07
null,1939,2,schwarz,null,7,4,null,1697,Oldtimer,null,bordeaux,Hinterradantrieb,Schaltgetriebe,1,38,Coupé,Benzin,Zuzwil,MERCEDES-BENZ,,170V B Cabrio 136,170V B Cabrio 136,MERCEDES-BENZ 170V B Cabrio 136,dcd2dc61-724d-46fb-b75d-0048238e1d9d
G,2005,4,null,286 g/km,11,5,12.2 l/100km,5461,Occasion,"""Ab MFK""",bordeaux mét.,Hinterradantrieb,Automat sequentiell,128000,388,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,S 500,S 500,S 500,MERCEDES-BENZ S 500,097365eb-e5ed-4efb-a968-b8e52926bc99
G,2008,5,null,333 g/km,7,5,14.0 l/100km,4991,Occasion,"""Ab MFK""",anthrazit,Allrad,Automat sequentiell,25400,580,Kombi,Benzin,Zuzwil,AUDI,RS6,RS6 Avant 5.0 V10 quattro,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,e4e22c26-c24c-4ac6-bccd-fe20579e9b0a
G,2006,2,schwarz,324 g/km,3,2,13.5 l/100km,5439,Occasion,"""Ab MFK""",anthrazit mét.,Hinterradantrieb,Automat sequentiell,47000,517,Cabriolet,Benzin,Zuzwil,MERCEDES-BENZ,SL 55 AMG,SL 55 AMG,SL 55 AMG,MERCEDES-BENZ SL 55 AMG,81129e16-a4a9-488f-913a-08b978f0e8c0
G,2014,2,schwarz,231 g/km,5,4,9.9 l/100km,3800,Neu,"""Ab MFK""",bordeaux mét.,Allrad,Automatisiertes Schaltgetriebe,450,560,Cabriolet,Benzin,Zuzwil,PORSCHE,911,911 Turbo S Cabrio,911 Turbo S Cabrio,PORSCHE 911 Turbo S Cabrio,67072177-a1f4-4058-9730-7f0f6e7a9301
null,1993,2,schwarz,null,6,2,null,2959,Occasion,"""Ab MFK""",bordeaux mét.,Hinterradantrieb,Automat,63600,231,Cabriolet,Benzin,Zuzwil,MERCEDES-BENZ,SL 300,SL 300,SL 300,MERCEDES-BENZ SL 300,07df6fed-f6ff-4644-9c37-056c50d1850d
G,2000,4,schwarz,320 g/km,5,5,13.4 l/100km,4966,Occasion,"""Ab MFK""",bordeaux mét.,Hinterradantrieb,Automat,99900,306,Limousine,Benzin,Zuzwil,MERCEDES-BENZ,S 500,S 500,S 500,MERCEDES-BENZ S 500,71c4ab65-22e7-410f-a9b1-d8794f8c8dac
G,2004,4,grau,288 g/km,4,5,12.0 l/100km,4172,Occasion,"""Ab MFK""",bordeaux mét.,Allrad,Automat sequentiell,60000,335,Limousine,Benzin,Zuzwil,AUDI,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,2f881650-b482-46df-8224-0182360ec799
