color,make,model,model_variant,city
White,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Blue,Maserati,COUPÉ GT,Coupé GT,Zuzwil
White,BMW,330,330i,Zuzwil
White,Mercedes-Benz,CL 600,CL 600,Zuzwil
White,Audi,A8,A8 4.2 quattro,Zuzwil
White,Porsche,911,911 Turbo S Cabrio,Zuzwil
White,Mclaren,12C,MP4-12C Coupé 3.8 V8,Zuzwil
White,Ferrari,458,458 Spider Italia 4.5 V8,Zuzwil
White,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
White,Ferrari,599,599 GTB,Zuzwil
White,Mercedes-Benz,S 63 AMG,S 63 AMG L,Zuzwil
White,Chevrolet,CORVETTE,CORVETTE C1,Zuzwil
Other,RUF,,RT 12,Zuzwil
Blue,Audi,RS6,RS6 Avant quattro,Zuzwil
White,Mercedes-Benz,S 500,S 500 4Matic,Zuzwil
White,Bentley,ARNAGE,Arnage Green Label,Zuzwil
White,BMW,740,740i,Zuzwil
White,De Tomaso,PANTERA,PANTERA,Zuzwil
White,Jaguar,XJ,XJR 4.0 Supercharged,Zuzwil
White,Mercedes-Benz,ML 500,ML 500 4Matic,Zuzwil
White,DeLorean,,De Lorean DMC-12,Zuzwil
White,Porsche,PANAMERA,Panamera Turbo 4.8,Zuzwil
White,Autobianchi,A112,A112 Abarth Serie II,Zuzwil
White,Alfa Romeo,SPIDER,SPIDER 1300 Junior,Zuzwil
Blue,VW,PHAETON,Phaeton 6.0 W12 4Motion,Zuzwil
White,Chevrolet,Silverado,Silverado 2500HD 6.6l V8,Zuzwil
White,Mercedes-Benz,CL 600,CL 600,Zuzwil
White,Bentley,ARNAGE,ARNAGE Red Label,Zuzwil
White,Mercedes-Benz,CL 600,CL 600,Zuzwil
White,Renault,ALPINE,Alpine V6 Turbo,Zuzwil
White,Mercedes-Benz,CLS 500,CLS 500,Zuzwil
White,Mercedes-Benz,CLS 63 AMG,CLS 63 AMG,Zuzwil
White,Hummer,H3,H3 3.7 Adventure,Zuzwil
White,Rolls-Royce,PHANTOM,Phantom 6.7 V12,Zuzwil
White,Porsche,911,911 Turbo,Zuzwil
Blue,Ford (Usa),EXPLORER,Explorer 4.0 Ltd. Edition,Zuzwil
White,Renault,Alpine A110,Alpine A110 1300 VC Gordini,Zuzwil
White,Porsche,911,911 Turbo,Zuzwil
White,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
White,Bentley,CONTINENTAL,Continental GT 6.0,Zuzwil
White,Ferrari,575M,575M,Zuzwil
White,Mercedes-Benz,SL 500,SL 500,Zuzwil
White,Mazda,MX-5,MX-5 1.8i 16V Confort,Zuzwil
White,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
White,Peugeot,205,205 Turbo 16V,Zuzwil
White,Audi,A8,A8 4.2 quattro,Zuzwil
Blue,Mercedes-Benz,500,500 SE,Zuzwil
White,BMW,320,320d xDrive M-Sportpaket,Zuzwil
White,BMW,728,728i,Zuzwil
White,Jaguar,XJ 220,XJ 220,Zuzwil
White,Porsche,CAYENNE,Cayenne S,Zuzwil
White,Rolls-Royce,PHANTOM,Phantom 6.7 V12,Zuzwil
White,Bentley,CONTINENTAL,Continental FlyingSpur6.0,Zuzwil
White,Mercedes-Benz,CLS 63 AMG,CLS 63 AMG,Zuzwil
White,Renault,ESPACE,Espace 2.0 T Privilège,Zuzwil
White,Jaguar,XK,XKR S/C,Zuzwil
White,Mini,MINI,1000,Safenwil
Blue,Mercedes-Benz,ML 500,ML 500,Zuzwil
White,Mclaren,12C,MP4-12C Cabriolet 3.8 V8,Zuzwil
White,Mercedes-Benz,SL 320,SL 320,Zuzwil
White,AGM,,WLR,Zuzwil
White,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
White,Porsche,911,911 Carrera S Cabrio,Zuzwil
White,Mercedes-Benz,SL 500,SL 500,Zuzwil
White,Mercedes-Benz,S 600,S 600,Zuzwil
White,VW,PHAETON,Phaeton 3.0 TDi V6 4M,Zuzwil
White,Ferrari,456,456M GT,Zuzwil
White,Mercedes-Benz,S 65 AMG,S 65 AMG L,Zuzwil
Blue,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
White,BMW,M5,M5,Zuzwil
White,Mercedes-Benz,A 150,A 150 Classic,Zuzwil
White,Lamborghini,,Reventon Coupé,Porrentruy
White,Audi,RS6,RS6 Avant quattro,Zuzwil
Blue,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Blue,Mercedes-Benz,E 320,E 320 Avantgarde,Zuzwil
Blue,Mercedes-Benz,,CLK DTM AMG,Zuzwil
Blue,Porsche,911,911 Turbo,Zuzwil
Other,BMW,X5,X5 4.6is,Zuzwil
Blue,Mercedes-Benz,SL 600,SL 600,Zuzwil
Blue,Bentley,BROOKLANDS,Brooklands,Zuzwil
Blue,Mercedes-Benz,C 320,C 320 Elégance,Zuzwil
Blue,Bmw-Alpina,5 SERIES,5 SERIES B7 TURBO,Zuzwil
Blue,Ferrari,F360,F360 Modena Berlinetta,Porrentruy
Blue,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Blue,BMW,728,728i,Zuzwil
Blue,Audi,RS6,RS6 Avant quattro,Zuzwil
Blue,Mercedes-Benz,E 63 AMG,E 63 AMG S 4Matic,Zuzwil
Blue,Lamborghini,MURCIÉLAGO,Murciélago LP640-4 Cpé,Zuzwil
Other,Porsche,924,924 Turbo,Zuzwil
Blue,MG,,Roadster,Zuzwil
Blue,Mercedes-Benz,S 55 AMG,S 55 AMG,Zuzwil
Blue,Mercedes-Benz,SL 600,SL 600,Zuzwil
Blue,Mercedes-Benz,E 240,E 240 Avantgarde,Zuzwil
Blue,BMW,Z1,Z1,Zuzwil
Blue,Honda,LEGEND,Legend V6 3.5i,Zuzwil
Blue,Porsche,911,911 Turbo,Zuzwil
Blue,Mercedes-Benz,CLS 63 AMG,CLS 63 AMG,Zuzwil
Blue,Mercedes-Benz,SL 320,SL 320,Zuzwil
Blue,BMW,750,750i,Zuzwil
Other,Audi,Cabriolet,Cabriolet 2.8 E,Zuzwil
Blue,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Blue,Mercedes-Benz,C 230,C 230 Elégance,Zuzwil
Blue,Lamborghini,GALLARDO,Gallardo LP570-4 Coupé SL,Zuzwil
Blue,Mercedes-Benz,S 65 AMG,S 65 AMG L,Zuzwil
Blue,Renault,Alpine A110,Alpine A110 A5 Motor,Zuzwil
Blue,Mercedes-Benz,190,190 E 2.5-16 ABS,Zuzwil
Blue,BMW,2002,2002 Turbo,Zuzwil
Blue,Ford (Usa),MUSTANG,Mustang 5.0 GT Premium 50 Years,Zuzwil
Blue,Lamborghini,GALLARDO,Gallardo LP550-2 Cpé V.B.,Zuzwil
Blue,Ferrari,F430,F430 Spider,Porrentruy
Other,Land Rover,RANGE ROVER,Range Rover 3.6 d HSE,Zuzwil
Blue,Mercedes-Benz,CL 500,CL 500,Zuzwil
Blue,Maserati,QUATTROPORTE,Quattroporte 4.7 S,Zuzwil
Blue,BMW,530,530d Touring,Zuzwil
Blue,VW,EOS,Eos 2.0 FSI T,Zuzwil
Blue,Audi,A6,A6 4.2 V8 quattro,Zuzwil
Blue,Mercedes-Benz,E 55 AMG,E 55 AMG Avantgarde,Zuzwil
Blue,Porsche,911,911 Carrera Cabrio,Zuzwil
Blue,BMW,X3,X3 3.0i,Zuzwil
Blue,Bmw-Alpina,6 SERIES,B6 4.4 V8 Cabrio,Zuzwil
Blue,BMW,540,540i,Zuzwil
Other,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Blue,Porsche,BOXSTER,Boxster S 3.2,Zuzwil
Blue,Ferrari,458,458 Italia 4.5 V8 Speciale,Zuzwil
